review_description,rating,developer_response,review_description_after_removing_stop_words
i really like this game but it keep freezing after every  second which is really annoying i want to keep playing this game but this freezing never let me  woman shrugging  light skin tone  woman shrugging  light skin tone  please fix it,4,,really like game keep freezing every  second really annoying want keep playing game freezing never let  woman shrugging  light skin tone  woman shrugging  light skin tone  please fix
it take a lot of time to start it a good game very engaging but it take a really really long time to sometimes start,4,,take lot time start good game engaging take really really long time sometimes start
it s a good game but update are really hard to download and sometimes game is lagging,4,,s good game update really hard download sometimes game lagging
sometimes not working it s freezing playing in my iphone  pro mx,5,"{'id': 14893451, 'body': ""Hi! We're so sorry. Please write to our Support team. Button in the game settings. Thank you!"", 'modified': '2020-04-24T15:31:33Z'}",sometimes working s freezing playing iphone  pro mx
this game is so lit and i am somehow addicted to it but i do nt care,5,,game lit somehow addicted nt care
iam enjoying playing this game,5,,iam enjoying playing game
the app is nt loading after  what do i do,3,"{'id': 21392154, 'body': 'Hi! Please write us to e-mail playflock@gmail.com', 'modified': '2021-03-02T09:27:31Z'}",app nt loading 
i love this game hopefully,5,,love game hopefully
no change ill stick to my other design game i understand you need ad but not an over extreme amount of ad that make the game not worth playing this could be a good game i went to level  but unfortunately this game is made up for you to watch more ad than to actually play the game i got so sick of constantly having to watch ad that im uninstalling this game i found other design game with more game and design playing without the constant ad watching,2,"Hello! Sorry to hear that you don't like amount of ads. We really appreciate your feedback, our specialists will take it into account and will try to make our game better in the future! Meanwhile, if you like other aspects of the game, maybe you can change your rating to five stars please? Thanks in advance!",change ill stick design game understand need ad extreme amount ad make game worth playing could good game went level  unfortunately game made watch ad actually play game got sick constantly watch ad im uninstalling game found design game game design playing without constant ad watching
nice game  thumb up ,5,,nice game  thumb 
graphic are gorgeous level are challenging but not impossible to pas im really enjoying the story,5,,graphic gorgeous level challenging impossible pas im really enjoying story
too many adsmakes it very annoying,1,"Hello! We are sorry to hear that you didn't like the amount of ads in the game. Advertising allows us to release regular content and make exciting and beautiful decorations.We want to bring only joy with our games and appreciate your feedback on the matter! Also, we will take it into account and will try to make our game better in future!",many adsmakes annoying
why is black up is not available i wa in  level but unfortunately my cousin deleted this game and now  loudly cry face  loudly cry face  loudly cry face  loudly cry face  loudly cry face  loudly cry face ,1,"Hello! Sorry to hear that! Could you please contact our support team about this problem? You can do it through the game by clicking Settings → Help or via support@playflock.com! We will be happy to help!
",black available wa  level unfortunately cousin deleted game  loudly cry face  loudly cry face  loudly cry face  loudly cry face  loudly cry face  loudly cry face 
i love the game  video game  hugging face  hugging face ,5,,love game  video game  hugging face  hugging face 
it a very good and interesting game just play it and see  ur self,5,,good interesting game play see  ur self
one of my favorite game,5,,one favorite game
this app is really good,5,,app really good
pretty good mostly a time killer,5,,pretty good mostly time killer
it good but it freeze sometimes,3,,good freeze sometimes
it is fun but there are annoying ad everytime,4,,fun annoying ad everytime
fantastic  smiling face with smiling eye   sparkle ,5,,fantastic  smiling face smiling eye   sparkle 
scam booster dont work right a rocket bee mix will never hit the target never if you have  move left and you use the double bee only one will hit the target bomb target other booster rather than the target piece imagine only  minute of booster they use half of that time running  ad after every  round some ad are a minute long and they run two you never win jackpot gold ticket event is longer but they didnt increase the number of rewarards theyre greedy,1,Hello! We are sorry that some aspects of the game caused negative emotions.We want to bring only enjoyment with our games. Thank you for your review! We will take it into account and will try to make our game better in future!,scam booster dont work right rocket bee mix never hit target never  move left use double bee one hit target bomb target booster rather target piece imagine  minute booster use half time running  ad every  round ad minute long run two never win jackpot gold ticket event longer didnt increase number rewarards theyre greedy
i love this game it free to play but the thumbnail,5,,love game free play thumbnail
nice  heart suit   star for my,5,,nice  heart suit   star
so far it is a good game to play,5,,far good game play
the story is pretty good in my opinion the graphic in the game are nice and the gameplay is fun and relaxing to play keep up the good work,5,,story pretty good opinion graphic game nice gameplay fun relaxing play keep good work
it just perfect though l wouldnt mind if the guest could pay with visible money  money bag  money bag  money bag ,5,,perfect though l wouldnt mind guest could pay visible money  money bag  money bag  money bag 
very fun game kinda hard and you have to be patient with,5,,fun game kinda hard patient
very good game great story five out of five,5,,good game great story five five
this game is so bad and it take so much time to download i just kidding,3,Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in future!,game bad take much time download kidding
this game  video game  mmmm very good,2,Hello! Sorry to hear that you don't like our game. Could you please give us some feedback about it? We've tried to make our game as enjoyable as we could and your feedback will help us to make our game better in future!,game  video game  mmmm good
the game did not want to open,2,Hello! Sorry to hear that! Could you please contact with our support team about this problem? You can do it via support@playflock.com! We will be happy to help!,game want open
love this game max and emily is the best couple in the game i love this game thank you playflock,5,,love game max emily best couple game love game thank playflock
good and wonderful game,5,,good wonderful game
i like the game  sparkling heart ,1,"Hello! We're glad that you like our game! But you gave us only one star, not five. Could you please correct the rating to five stars? Thanks in advance!",like game  sparkling heart 
it a too much awesome game,5,,much awesome game
