developer_response,review_description,rating,review_description_after_removing_stop_words
"{'id': 23799283, 'body': 'Hello! Thank you for the review and for your feedback! We will send it to our developers! Have a good game!', 'modified': '2021-07-07T12:50:17Z'}",i only started playing about a week ago and so far so good i do nt have any complaint at all i hope the game stay this way and the match  doe nt get any harder you definitely have to think on the match  game but it s not so hard that you have to play a million time to get through it like a lot of the other match  game are so hopefully it stay this way and i will continue to play oh also when you want to fix up a room you get your  choice of whatever furniture or decor you want to use in the room plus they give you an extra choice of something if you watch an ad and the choice you get if you watch the ad is nt necessarily nicer than the  you already have to chose from in my opinion anyway i actually only watched one ad because i did nt care for the other option all the other time so that s also a plus,5,started playing week ago far good nt complaint hope game stay way match  doe nt get harder definitely think match  game s hard play million time get like lot match  game hopefully stay way continue play oh also want fix room get  choice whatever furniture decor want use room plus give extra choice something watch ad choice get watch ad nt necessarily nicer  already chose opinion anyway actually watched one ad nt care option time s also plus
"{'id': 30727964, 'body': 'Hello! Thank you for the valid feedback! We will discuss your ideas and comments with developers and will try to improve our game in future updates! Thank you for your interest and enjoy playing Family Hotel!', 'modified': '2022-07-05T13:34:57Z'}",although you have done and tried to do a lot to this game since it s conception the level are still to hard to pas even with booster also i do nt enjoy getting hit right off the bat with various money package to help my game it s just so ridiculous considering some upper level are hard to pas even with booster i had deleted this game so many time but wa always backed up by facebook this time around i had to start the game all over again there wa no showing of my play history which wa quite up there it need bug fix and easier level to pas so that it can be enjoyable the storyline and graphic are fine also like so many other match  game there are too many thing or contest going on at one time now you have to watch ad just to get your daily bonus too many ad to get your prize need to move the storyline along starting to get boring with the same storyline open up more area to decorate in the hotel instead of constantly dealing with the same character but with different story to tell i would like to see a i am sure others would like to see the hotel being decorated room by room why do we have to watch ad to earn our prize and daily bonus it s so annoying,3,although done tried lot game since s conception level still hard pas even booster also nt enjoy getting hit right bat various money package help game s ridiculous considering upper level hard pas even booster deleted game many time wa always backed facebook time around start game wa showing play history wa quite need bug fix easier level pas enjoyable storyline graphic fine also like many match  game many thing contest going one time watch ad get daily bonus many ad get prize need move storyline along starting get boring storyline open area decorate hotel instead constantly dealing character different story tell would like see sure others would like see hotel decorated room room watch ad earn prize daily bonus s annoying
"{'id': 35202434, 'body': ""Hello! Sorry to hear that you  don't like amount of ads and it's quality. We really appreciate your feedback, our specialists will take it into account and will try to make our game better in future!Thank you for your interest! Meanwhile, if you like other aspects of the game, maybe you can change your rating to five stars please? Thanks in advance!\r\n"", 'modified': '2023-03-04T18:44:26Z'}",love the story and the game the design look good and i like the character and am interested to see where it go what s keeping me from rating  star are the amount of ad i understand free game using ad for booster and such but this game go too far free key watch an ad ok i can live with that extra booster before a level… ad ok i can live with that too even the option to watch an ad after a level for boosted coin i am okay with however sometimes it throw you into an ad just because after a level and the events… i ve never had to watch an ad to claim every single reward on the free tier… it s pretty ridiculous plus the design option forcing you to watch anywhere from  ad for a single piece of furniture it s just wayyy to much i feel like every twenty minute i spend playing the game i m stuck watching  minute of ads… i wo nt even claim all the reward i can get because every single one force you to watch an ad… this need toned down and then i would rate the game higher…,3,love story game design look good like character interested see go s keeping rating  star amount ad understand free game using ad booster game go far free key watch ad ok live extra booster level… ad ok live even option watch ad level boosted coin okay however sometimes throw ad level events… ve never watch ad claim every single reward free tier… s pretty ridiculous plus design option forcing watch anywhere  ad single piece furniture s wayyy much feel like every twenty minute spend playing game m stuck watching  minute ads… wo nt even claim reward get every single one force watch ad… need toned would rate game higher…
,i actually find i really love this game so far the graphic are lovely the story is interesting and the gameplay is fun there are plenty of opportunity for free booster and life for watching an ad many will complain that the level are designed to make you need to buy booster but every game is going to be like that of course they want to make money i m willing to pay the occasional dollar or two i am having one issue though if i click on the menu for the character and wardrobe the resolution of that menu is way off it stretch beyond my ipad screen to where i can not see all the option since the x option is off my screen at this point i have to force quit the app to go back to the game i hope this bug can be fixed on the next update because i would love to check out those feature update bug fixed thank you,5,actually find really love game far graphic lovely story interesting gameplay fun plenty opportunity free booster life watching ad many complain level designed make need buy booster every game going like course want make money m willing pay occasional dollar two one issue though click menu character wardrobe resolution menu way stretch beyond ipad screen see option since x option screen point force quit app go back game hope bug fixed next update would love check feature update bug fixed thank
,i just started playing about  minute ago so it s a bit early to give it a thorough review however i will say i m enjoying it so far the storyline is engaging and so are the character that s a big deal for me the match game are easy a they are at the beginning level of most game i really like the interactive play it s fun to be able to choose the attitude and direction of the story i also like the feature that allows you to watch ad for extra choice watching ad sure beat spending my hard earned coin my first impression is five star  starstruck ,5,started playing  minute ago s bit early give thorough review however say m enjoying far storyline engaging character s big deal match game easy beginning level game really like interactive play s fun able choose attitude direction story also like feature allows watch ad extra choice watching ad sure beat spending hard earned coin first impression five star  starstruck 
"{'id': 28650995, 'body': 'Hello! A lot of changes have been made to our game and we have made efforts to make it better for you! Could you change your rating to a higher one?', 'modified': '2022-03-18T12:29:02Z'}",this gameplay is horrible even though the graphic are beautiful the storyline is good to deal with how long i have to wait for life how often i have to replay a level seeing how expensive to keep playingget item constantly seeing their ad to buy their stuff how the tile do not turn into bomb after drop is annoying it take  minute to get life cost k for item  coin to keep playing  continuously seeing their ad to buy their stuff to make the level easier  after i lose a certain amount of time is a mood killer i feel the game developer purposely set up some of these level to make you lose constantly because they really want you to buy their stuff not to mention there is nt enough event to help you pas these level that heavily depend on bomb to beat if you do nt mind replaying a level over a week or so this is the game for you if not i would nt recommend this game because of these issue,2,gameplay horrible even though graphic beautiful storyline good deal long wait life often replay level seeing expensive keep playingget item constantly seeing ad buy stuff tile turn bomb drop annoying take  minute get life cost k item  coin keep playing  continuously seeing ad buy stuff make level easier  lose certain amount time mood killer feel game developer purposely set level make lose constantly really want buy stuff mention nt enough event help pas level heavily depend bomb beat nt mind replaying level week game would nt recommend game issue
"{'id': 34569994, 'body': 'Hello. We are sorry that you did not like something in the game, we will continue to work on it and hope that you will change your opinion about it!\r\n', 'modified': '2023-01-30T16:38:32Z'}",so here is the breakdown of the ad i saw v what i see the game is actually about a black male think black like wesley snipe got some white child on his lap with a belt looking super mad about to beat her the mom rush in and snatched her daughter off his lap they hide under a table and dude bust in the room and the mom and daughter try to get from under the table but she bump her head dude grab her by the arm raising the belt ngl i thought this wa a chris brown simulator or something come to find out just like most of the ad it s false advertising another boring game of trying to renovate a place this game ha me like booooo  tomato  tomato  tomato  because i wa down to play this racially motivated game not because i m racist but because i never seen a game like that before oh well though i will be uninstalling  star because the ad wa wild not  because false advertising,3,breakdown ad saw v see game actually black male think black like wesley snipe got white child lap belt looking super mad beat mom rush snatched daughter lap hide table dude bust room mom daughter try get table bump head dude grab arm raising belt ngl thought wa chris brown simulator something come find like ad s false advertising another boring game trying renovate place game ha like booooo  tomato  tomato  tomato  wa play racially motivated game m racist never seen game like oh well though uninstalling  star ad wa wild  false advertising
"{'id': 28651175, 'body': 'Hello! We have fixed the bugs in the game and we have made efforts to make it better for you! Could you give our game another chance and change your rating, perhaps to five stars?', 'modified': '2022-03-18T12:37:50Z'}",i really like the game but i have two really big issue with it the first one is that the game keep freezing after i pas some of the level and it cause me to have to close out of the app the upon reopening i notice it took the life away and did nt give me any credit for passing the level the second issue which is now my biggest issue is that i ca nt get past step  of  decorating the library  on chapter  because it will not load i can continue playing and getting more key which i have a lot of now but i can not continue the storyline it say it s downloading but the bar wo nt move past  it s been like this for several day and the app is up to date i have emailed support and they said they are aware of the issue but have nothing they can do at the moment and there are no new update after reading a few review i ve realized this ha been going on over a year now,1,really like game two really big issue first one game keep freezing pas level cause close app upon reopening notice took life away nt give credit passing level second issue biggest issue ca nt get past step   decorating library  chapter  load continue playing getting key lot continue storyline say s downloading bar wo nt move past  s like several day app date emailed support said aware issue nothing moment new update reading review ve realized ha going year
"{'id': 28651075, 'body': 'Hello! A lot of changes have been made to our game and we have made efforts to make it better for you! Could you give our game one more chance and change your rating possibly to five stars?', 'modified': '2022-03-18T12:33:11Z'}",my story is fun butthe puzzle are too hard and it would cost thousand of dollar to buy stuff you need to finish actually they are all like that i d rather pay  to play the game all the way through a it is i can only play to level below  after that i just ca nt get it done so i downloaded  design game and play them a far a i can go delete it and move on to the next one but this one hurt it is prefect fun ha purple a a design color and is hard to put down so you can go to bed so listen up developer make an option to buy the whole game with a reasonable price so poor people can play too you d make more money that way instead of paying  i paid nothing and now i m moving on let me know if you include that option in future game or maybe this one hope hope,2,story fun butthe puzzle hard would cost thousand dollar buy stuff need finish actually like d rather pay  play game way play level  ca nt get done downloaded  design game play far go delete move next one one hurt prefect fun ha purple design color hard put go bed listen developer make option buy whole game reasonable price poor people play d make money way instead paying  paid nothing m moving let know include option future game maybe one hope hope
"{'id': 39853434, 'body': 'Hello! We are sorry that you are not satisfied with the amount of advertising in the game! We will definitely think over your words and try to make appropriate changes in the game!\r\n', 'modified': '2023-10-31T16:56:02Z'}",i ve played this game for a long time and loved it it truly wa a  star game then i took a break for a year or so i opened it again and wa shocked at how much it changed it s nothing more than a game of ad now you ca nt perform a single action without watching an ad i understand an occasional ad on a free game but this is excessive what really got me wa watching ad to claim reward you ve already earned you get ticket from playing level which give you reward a long a you watch an ad first there s an ad at the end of each level an ad to claim daily reward you can even watch ad instead of playing level to get key to unlock the story it s ridiculous for every minute you play you waste  minute watching ad i ended up deleting the game,1,ve played game long time loved truly wa  star game took break year opened wa shocked much changed s nothing game ad ca nt perform single action without watching ad understand occasional ad free game excessive really got wa watching ad claim reward ve already earned get ticket playing level give reward long watch ad first s ad end level ad claim daily reward even watch ad instead playing level get key unlock story s ridiculous every minute play waste  minute watching ad ended deleting game
