date,review,rating,isEdited,title,userName,developerResponse
2020-02-03 16:39:09,I have been reading stories on this app.. they are very interesting but there is a problem too.. whenever you complete one chapter and are going to start the new one the app shut down itself and then it is required to reopen again.. and you are back to the previous chapter again.. this is so annoying 😒,4,False,Problem in the app,280Kashu,
2021-12-03 03:50:18,"See let me tell you this app is amazing all the other comments which say it’s not nice font trust their words as because after the update it’s very nice . Even if you don’t have diamonds there are even maple coins that they give you just click on that and take a diamond pass which comes from maple coins but not real money after clicking it you can use it anywhere when you have less diamonds 

And if you wan to become writer in this app even that option is available if your book gets enough ratings and stars you will even get real money for that 

Overall this app is amazing 🤩",5,False,Amazing 😍,Name .... Name ......,
2020-02-06 06:21:05,"Hello I have been a frequent user of the app and some time before I had to delete it because of space problems but today I redownloaded it and when I got on the profile page to login the app demanded the way of choosing the Facebook or google when I clicked goggle or even Facebook it showed the page of login but it kept downloading again and again and showed the message if you wanted to sign in and when I selected continue ,this thing happened again and when I clicked cancel the app on itself shut down and brought me back to my home screen. Please fix the problem",3,False,Problem logging in,bh2309,
2020-04-17 05:41:36,"I tapped an in app purchase that said it cost 0.99$ on the app. While purchasing, it showed 79₹ which was the correct conversion rate. After approving the payment, to my utter shock, 1500₹ got debited from my bank account which did not even reflect in the form of purchase that I had meant to pay for in the app.
In grave times like these where every penny matters, economies are collapsing, the world is in a crisis, I am enraged by this loss that I have incurred due to the fraudulent nature of this app. Beware of these cheaters.
Go read an actual book rather than wasting money on this. All their “interactive” books are available in pdf/ebook versions anyway.",1,False,Fraud app,Shirin25,
2020-09-27 18:23:57,"This game is so amazing! I just really love it! There are so many stories with choices to choose from and so many books that others have written! Being friends, chatting and sending bubbles - wow! 🤩
I just really like the fact that we can write and own stories and participate in the challenges! 
I really recommend you guys to download it! 
So happy I got to know about this game!",5,False,Amazing!,Rosé09,"{'id': 18512540, 'body': 'Dear friend, We would like to thank you for your kind review. We will always do our best to ensure customer satisfaction, and it is good to hear that you have had a positive experience. We have 3rd Anniversary,buy one get one free activity with limited time from 15-17 Oct 2020. Please visit Chapters again soon to get our latest stories. Many thanks.', 'modified': '2020-10-16T03:08:09Z'}"
2019-05-07 06:19:37,"I've been playing this for a while and I think the stories are pretty interesting. But the problem is with the passes, we have to wait for more than an hour but only get 2 passes. I really hope that you make changes so that we get about 4-5 passes, which will be worth the waiting time (And so people don't lose interest in the game). Other than that, it's a good game. :)",4,False,Great game but a request,Jen10fav,
2021-10-09 21:07:44,"Hy! A few months back my community stories started to not open, everytime i try it will show spoor network connection, i am so sad abt it i am reading 7 books from community amd i can't read any of them i feel like crying please help asap also i have an ios if it helps, team chapters please help.",4,False,I can't open community stories,blackbarbie0711,
2018-12-12 13:42:22,I love the app and all the stories. But I’ve been having this problem off late where the app takes too long to load and the stories also all download too slowly. Haven’t been able to play for so long coz I need to wait at least 8-10 minutes or more for a story to download 100%. Please help with this issue.,4,False,Takes to long to load !,Isha_xo_,
2020-05-26 20:33:58,The stories are really interesting only if we get to play in continuation. We get only one pass after waiting for an hour n Only left with one diamond. How do u suppose us to select most of choices without even half of the diamonds u ask for. This game just turns of ur interest after palying 2-3 chapters that includes choices. You should provide more tickets and diamonds if u really want the players to have fun and fulfilment with ur app.,3,False,Fraud,michakunjus,
2019-08-22 01:39:55,I enjoy the stories in this game. But new stories are becoming more and more expensive. I have been reading their stories for several months now. But lately with the increase in number of choices in a 20 chapter story and each costing several diamonds is starting to force me to slow down and look for alternatives.,4,False,Addictive but expensive,Vani1983,
2021-10-12 08:22:02,"I absolutely love this game! It’s one of the best I’ve ever played… But from some time there has been a lot of problem loading
I am not able to read any book coz it’s taking too much time to download and the app gets closed automatically 
The app is lagging too much 
Recently I wanted to start a new book but it’s not giving me enough time to choose a book the app gets closed again and again and I get frustrated 
Please fix my problem so that I play it always and give you a 5 star rating!😄 
Hope you will see this soon and take the necessary precautions!❤️",4,False,Nice game but please fix my problem,Shruti🖤,
2021-03-02 06:03:03,"I love this app it is amazing but from few days this app is not working on my phone. Whenever I am opening the app it is itself shut down. Not only I reinstalled the app but also updated it but still it is not coming. 
 Please do solve my problem as soon as possible.",4,False,A request,Chapters_Interactive,"{'id': 21438798, 'body': '""Hello,We are sorry to hear that the App was not as your expected.Customers are all more than welcome to submit a question to our Customer Service team and we will reply within 24 hours.Your satisfaction is our top priority.  Please contact our customer support: support@crazymaplestudio.com.We will respond as soon as possible.\n\n""', 'modified': '2021-03-04T06:11:02Z'}"
2018-09-18 14:42:58,The stories are awsome. I enjoy spending time reading chapters. Only one problem whenever I use gems I expect to go it as per the matter mentioned wherein sometimes even after charging gems the story goes as it is. There is no point in spending gems on choices!,5,False,Amazing stories,anunni1987,
2019-01-05 08:26:43,"I really loved this game and enjoying all the chapters thoroughly.
The only thing I would like to mention is that you should add some mini games to earn diamonds cause they cost a lot and there is no any other way to earn A Single Diamond by completing one chapter.. that is really not fair..",5,False,Loved this game,dmadddd,
2019-05-03 18:14:57,"Love the app and love playing the chapters. But my request is to remove diamonds for outfits. Because you can only use so many diamonds for outfits and for choices. I would appreciate if you remove outfits diamonds, to let us enjoy the story more having our own choice of outfits. Thanks.",4,False,A request,Riicciii,
2020-07-05 09:12:26,"The concept of this app is fantastic. Am totally enjoying reading and the way it is connected is also fun but the worst is the compulsory ads and the wait for the pass. 
Plz understand that reading needs connectivity. all your stories so far has that but lacks with pass, diamonds, ads and etc. 
Plz do something about it or else will have to uninstall. Coz this frustrates and might spoil my reading habit.",2,False,Mood spoiler ... needs alert,Angel_Annie,
2019-08-19 06:12:01,"I love the stories. The game is very gud. I just had 2 requests:
1. Passes can be a bit more along with diamonds 
2. There should be an option to select the chapters to read again once you have completed it or the story just if required to read a specific part again",4,False,Nice Stories,Divg10,
2020-07-18 04:59:25,"I had accidentally logged out of my account yesterday. I haven’t been able to log back in since. I don’t know why, I logged in with my Facebook account but I can’t log back in since the log out. I tried several times. I uninstalled and reinstalled it. It’s still an issue. I have 2 stories to write. Please do something!",3,False,Log in issue,google angel,
2018-04-15 16:35:48,"Wow I dont have words to says but i love the stories 😍😍😘😘 cant get enough of the stories ☺️😍 may i know this story will have full chapters ? Right one more thing make more live i mean the tickets alteast 10 please 
Thank you so much for making the as a game loved it alot 😍😍❤️❤️😘🤗",5,False,Loved it,Akki_20,
2019-07-05 17:10:36,"To load even one chapter, it takes what seems like forever. I have been trying to load the same chapter for over two hours now, and it still hasn’t loaded. Some error keeps occurring and then the percent which has loaded also vanished and it starts from the beginning all over again. I thought that maybe it was my wifi that is slow, but my wifi is soo fast and there’s nothing wrong with it. Only the game.",1,False,THIS GAME TAKES TOO MUCH TIME TO LOAD!,chaeunwoo_,
2020-05-17 08:46:06,"It was working absolutely fine but after the latest update, it doesn’t even open. After clicking on the app it closes and my home screen appears. Please fix this.",4,False,Crashes,Navni28,
2019-05-24 08:47:36,"The game have been so far good. I have a problem, I couldn’t use the ‘clean’. It actually doesn’t work due to which the app seems to take more space on my Iphone. Kindly, fix this issue.",5,False,Have a problem in cleaning,Alfazeena,
2019-01-24 12:03:39,After finishing one chapter we get too less diamond so im thinking why dont u increase the diamond by getting 2 or more diamonds after finishing please do make some changes cause sometimes the choice requires too much diamond so in order to havr fun while playing u must increase the diamond please other than that full of fun and interesting,3,False,Increase diamond,ceeeeyyyyyy,
2021-12-27 23:35:15,The stories seem to be nice. But the choices are designed to be really horrible if you don’t have diamonds. It really makes the story take unpleasant direction. It would be much better to reserve diamonds for premium choices instead of hurting characters for lack of diamonds.,3,False,Could be better,tutikpitik,"{'id': 27118587, 'body': ""Hello,\nWe're so sorry that we did not meet your expectations.\nWe're always looking to implement more opportunities so users can be rewarded more gems and tickets. We have a lot of surprises planned!\nPlease feel free to send us any suggestions you would like to see implemented. To send us a msg: please log into your app > Help >Feedback."", 'modified': '2021-12-29T08:55:29Z'}"
2020-04-17 18:46:04,"I am avid reader and have downloaded other reading games like choices and more but none are good in graphics and reading interface like “chapters”! 
It’s pretty impressive and addictive too!",5,False,The best reading game compared to others!,archana_jojo_lady,
