date,review,rating,isEdited,userName,title,developerResponse
2018-10-19 08:00:51,"I have downloaded tons of story apps like this one. And this one is by far the best. It's the one that keeps me up all night playing it. I made my fiancé download just so we can talk about the stories. I don't even really mind the ticket thing. However, I really mind the diamonds thing. I HATE that to wear certain thing and for certain choices I have to spend my diamonds or my real money to get diamonds. I mean this would cost me a fortune with all the stories I read. Personally, I think locking certain whole stories would be a better option. I much rather spend my money buying the most popular books then spend it on the choices I want to do because you run into a million and that will cost a fortune. It also would set this story app apart from the others because I've never see any of them do that. I even talked to my mother in law who had this app and she told me she deleted it because she couldn't choose what she wanted to choose. It's the apps biggest down fall. If it was changed, I would say it's perfect and reccomend it to everyone. I mean heck even the tickets to read a chapter can make you money. There's no reason for diamonds on choices. You can also through in adds for all I care. As long as I get to choose the choice I want. Hope this doesn't fall on deaf ears. I love the app tho! A must download.",4,False,Pyschstudies,In Love...Just Not With The Diamonds,
2023-12-25 02:28:21,"*
seasiskl
I love this app but I do have some frustrations that I have noticed many others also have. In order to play, you have to have a ticket per chapter and you only get 3 tickets daily so that really limits what you can read without spending a ton of money on more. I'm also slightly frustrated with the diamonds in the same sense. You earn two per chapter read with the option to watch a video and earn four (if that option is working that day) but each choice costs between 12 and 17 or even more diamonds and each story has many choices that you are forced to not choose the answer you actually want to give, without spending a lot of money. Now I don't mind making purchases with real money once in a while for a game that I really enjoy like this one but I do have a problem when a game is so obviously a giant money grab. I believe there are ways to still make money from this game without having each choice be so costly because that makes the gameplay so much less enjoyable for the person who wants to choose a response and cannot. And the same with tickets. The choices should cost wayyyy less than the amount they take, they could still earn the money there but obviously not as much but they would have more people keep playing for much longer instead of getting so mad that they stop playing and buying altogether. There has to be a happy medium and there has to be less greed. I mean, it's not like they are actually paying these authors",5,False,user309641290,5 stars,"{'id': 40921043, 'body': 'Pity if the game did not live up to your expectations. We try to maintain a balance between f2p and paid content, and enrich the content and provide users with a better experience. There are many ways to earn diamonds, watch Ads, earn free diamonds. You can also choose to subscribe for less diamonds cost and enjoy more benefits.', 'modified': '2023-12-27T04:42:00Z'}"
2023-03-19 06:13:52,"I love this app but I do have some frustrations that I have noticed many others also have. In order to play, you have to have a ticket per chapter and you only get 3 tickets daily so that really limits what you can read without spending a ton of money on more. I’m also slightly frustrated with the diamonds in the same sense. You earn two per chapter read with the option to watch a video and earn four (if that option is working that day) but each choice costs between 12 and 17 or even more diamonds and each story has many choices that you are forced to not choose the answer you actually want to give, without spending a lot of money. Now I don’t mind making purchases with real money once in a while for a game that I really enjoy like this one but I do have a problem when a game is so obviously a giant money grab. I believe there are ways to still make money from this game without having each choice be so costly because that makes the gameplay so much less enjoyable for the person who wants to choose a response and cannot. And the same with tickets. The choices should cost wayyyy less than the amount they take, they could still earn the money there but obviously not as much but they would have more people keep playing for much longer instead of getting so mad that they stop playing and buying altogether. There has to be a happy medium and there has to be less greed. I mean, it’s not like they are actually paying these authors.",5,False,seaslskl,Love the app but…,
2020-01-28 20:17:12,"I might love this app to much. I get to pick what the main character looks like, so I get her as close to me as I can. I get to pick her name so all of them are me lol... the best way to read a book is to put yourself into the main roll, so I do. It is so much fun, then you get to choose what happens, well for the most part. There are tickets for reading the chapters you usually get 2 and it takes an hour for one to be replenished, 
(you can buy more if you want/need) but to start a new book is free. outfits and some choices cost diamonds (which I wish were less so I could choose more options) they usually cost 12 for a nice out fit/ tempting choice or 17 diamonds for the best outfit/spicy choice so it adds up quickly, however there are choices/outfits that don’t cost, however they usually are not something I would normally choose. But I will sacrifice an outfit for a choice later. I also love the stories. Besides that the other thing I would change is a chance for a back button, I don’t know how many times I have lost control of my phone and as I’m trying to grab it again I have hit the screen and changed the story, or I put it down for a moment and my cat stepped on it and changed it. 
Also I get often that the system will not let me in please try again later, which is super annoying but it usually corrects itself in a few hours. I would recommend this to everyone that likes to read and make their own choices, however it is super addictive. 😁",5,False,lil' debbie g,Love this app.,
2024-08-22 07:51:33,"I’ve had Chapters for almost over a year now and I love it, I’ve gotta say it’s one of the best apps for these romantic stories where you have control of the choices you make. The amount of passion put into most of the stories are addicting and enjoyable! However, there are often times the storylines and plots get repetitive and/or boring, including common tropes like “billionaire workaholic” or “arranged marriage” because the MC is poor. There have been many times where I take a break from the app for weeks before popping in again to check out if any of the new ones are any good. Don't even get me started on the price and amount of work you have to do for the diamonds. The absolutely ridiculous newest update has the “earn diamonds” section to be now only providing 1 diamond for the web ads instead of its usual amount of 2 diamonds… The ads and websites we have to click to watch and read to earn diamonds are already enough work, the insane update is just the cherry on top! There should definitely be more diamond earnings, or at least have the diamond earnings be kept at 2 instead of 1. I also really miss when back then, we used to get 2x diamonds every few days weekly but now it only happens during a holiday :( Those were the times when I enjoyed Chapters the most. Anyways, these reasons are why us consumers get frustrated and ultimately want to delete the app. Chapters could definitely do better.",3,False,feenher,Ridiculously Expensive,
2024-08-14 05:09:54,"I’ve played both Choices and Chapters for the first time this week. Choices wins in decor, fashion, and verbal cues. Chapters wins in app ease of use, customer support, ridiculous plots, and best of all… their rewards. Choices…I’ve tried 11 options under their “buy from our partners “ bit. lol I have the other 15 options for the last idk 5 years. It’s either buy something or nope, yep. 6 surveys I’ve taken and I’ve only received diamonds for 2. I took one survey 6 times in 24 hours on two different devices and default browsers just receive nothing. And waiting for responses from support? lol they don’t even allow you to attach screenshots showing proof. I’d send a screenshot of the screenshot to show the time and date it failed. But nope. The ones for samples don’t give rewards they just make you click 47 different yes nos or more options over and over after you registered and once again nothing. I do love this game mainly because of one series this far but even my paying for VIP feels like I’ve only gained 30 diamonds per day from it which is nothing compared to Chapters. I actually received 126 diamonds for completing the same “offer” in Chapters.  Choices only rewarded 11 in which I never received thus forcing me to see the books from Choices. I’ll admit some of the titles are disgustingly cheesy but still chapters wins. This is my truth, maybe you will have better luck. But, stick with Chapters if you want to rewarded for your loyalty.",3,True,BabyDoll86RC,Amazing Reward System,"{'id': 45953465, 'body': 'Sorry for the inconvenience, but we need more detailed info for further checking. Please go to Help >Feedback in your app Chapters and describe your problem or send it to support@crazymaplestudio.com. The customer service team will get back to you within 24 hours', 'modified': '2024-08-13T09:05:05Z'}"
2023-08-13 02:58:23,"I’ve had this app for a while, and I enjoy it almost all the time! But I’ve never had a problem with this when the game was like newer? It’s just that an ad pops up like every two seconds I try to read a story. Even if you press the ticket button you still get like 2–3 ads before it actually starts, it’s crazy and very repetitive. Does it almost all the time. I try pressing bc the next chapter to a story? When I first downloaded this game it was just an ad or 2 depending on which button I pressed (ticket or watch an ad) cus if I pressed ticket it wouldn’t give me an ad and if I pressed ad it’d give me one and the story went on. But now it’s basically the exact same thing, no matter what, it’s just that if you press ad you have to watch 4 instead of 3 ads. 

Also, I’ve never had a big problem with the diamonds because i almost always play the user stories since they’re ‘better’? In some way or another. But all the times I’ve used it at all, it was technically for nothing and did nothing for the story or plot. I’m not saying all of them don’t do that, it’s just some of them do, and it’s annoying. As well as the ads. 

Either way, it has potential, I’ve seen this happen with many games where when they start gaining popularity or numerous people end up playing it starts bombarding you with ads. I mean get that bag ig but I would like if it downed just a bit.",3,False,JayLiesHere,it’s super fun! but..,"{'id': 38322933, 'body': ""Dear, if you want to get rid of those Ads, you can choose to AD-free via Event. Please kindly be patient when watch commercial Ads, there are cross to close it at the end. If this can't solve your confusion, feel free to contact us and log into your app > Help >Feedback."", 'modified': '2023-08-16T10:27:10Z'}"
2020-08-24 05:00:42,"Honestly, I feel like Chapters has the potential to be a really good app, due to the amount of diverse stories there are. However, it’s still lacking in a few things. 

1. Stories are mediocre at best, but occasionally you’ll find a gem here and there. These stories pander to mostly lonely middle-aged women and fit a very stereotypical scenario most of the time. Chapters has multiple stories that cover a lot of the same tropes over and over...The hot daddy millionaire, boy next door, or your typical vampire love story, the one where the guy is a big tsundere in denial of his love for you and has an extremely toxic personality...Chapters has a little bit of everything for everyone. But the tropes are heavily recycled over and over. This app has so many stories, but lacks diversity when it comes to tropes.

2. Diamonds. I know recently Chapters has tried to make it fair for users who don’t pay, but come on...Paying 17 diamonds for choices that basically don’t matter with barely any outcome? That’s a little ridiculous. Especially, when we get very few diamonds after the stories themselves. I wouldn’t have an issue with waiting to collect diamonds, watching ads for them, etc...but choosing diamond choices with little or no outcome is a bit silly. Why not put the diamond choices on the choices that will have a real impact on the story? The “Choices” app does this very well by balancing this out, even if we’re spending 17 diamonds on a choice.",3,True,Nekomimiko2014,Has Potential...,"{'id': 15556423, 'body': 'Hello! We have lots of free ways to earn diamonds on our app. :) Check out our bubbles system, link your account to facebook/google, finish books, or just log in to get free diamonds. We are also building new features which provide our users with more free currencies. Please feel free to \r\nmessage us with any questions to the feedback portion at our app.', 'modified': '2020-05-26T02:21:52Z'}"
2020-04-14 13:11:24,"I consider this app to be one of the best interactive games for 2 reasons. The first, it really does have some of the best stories compared to other apps that are similar. The second, it is one of the best money grabs I’ve ever witnessed!!! All of the important choices require you to use diamonds and it seems like every 3rd or 4th choice is an important choice. The choices cost at least 12 or 17 diamonds, some others as much as 20 or 30. There’s usually 3 choices, only one of them won’t require diamonds. Diamonds are hard to come by unless you are willing to buy them, the 30 diamonds for $1.99, get you 2 choices lol. Most stories are anywhere from 14 to 20 chapters and each chapter easily has about 8-10 choices that require diamonds. You can sacrifice outfit choices that require diamonds to save some, it just means you may end up on a date to a benefit gala dressed in a button-up shirt and ankle length pleated skirt!! The choice options are so skillfully crafted too, the free choice is almost always something with a negative outcome. Not all the stories require diamonds for outfits, I’ve come across one with all free outfit choices. Basically if you don’t have a problem with spending so much of your hard earned money on an app like this, you’ll absolutely love it. The game is definitely more focused on making money than providing enjoyment, which is obvious with the selection of choices given to you!!!!",3,False,mara0331,One of the Best!!,"{'id': 14795984, 'body': 'Hello! We have lots of free ways to earn diamonds on our app. :) Check out our bubbles system, link your account to facebook/google, finish books, or just log in to get free diamonds. We are also building new features which provide our users with more free currencies. Please feel free to \r\nmessage us with any questions to support@crazymaplestudio.com', 'modified': '2020-04-20T22:23:55Z'}"
2024-06-13 15:59:15,"Don’t get me wrong, I absolutely love this game because I just recently joined and I noticed they gave us a reasonable amount of diamonds to spend to enjoy the game. However, due to the cost of the good responses (12/17) diamonds. It doesn’t last that long since there’s a lot of response giving in the game to interact. Considering that I just joined the game yesterday, I’m already done with my diamonds  which means I’m enjoying the game and I’m currently wanting to get more, but I feel like the cost for the responses are way too high. Also, the fact that we only get a certain amount of diamonds and a certain about of tickets until we need to watch ads, complete surveys, and other requests to get more diamonds and those requests don’t build up as much diamonds as we need to normal play the game without having to wait a lot of time to play again. I’ve read some of the reviews right now and I’ve seen a lot of complaints about the diamonds so I guess this is a normal review to you guys. I also wanna point out the obvious. How the developers continue to show us the discounts of what the vips get instead of the people without the vip and how the prices for the responses this lower and how they get more better benefits than other people without the vip.",4,False,Xxm.a.,A little too overboard.,
