x (m)	y (m)	yn (m)	yc (m)	z (m)
0.0000	1.8000	1.2000	0.9000	0.0000
1.0000	2.6884	1.2000	0.9000	0.0010
2.0000	3.6656	1.2000	0.9000	0.0020
3.0000	4.6589	1.2000	0.9000	0.0030
4.0000	5.6564	1.2000	0.9000	0.0040
5.0000	6.6554	1.2000	0.9000	0.0050
6.0000	7.6548	1.2000	0.9000	0.0060
7.0000	8.6546	1.2000	0.9000	0.0070
8.0000	9.6544	1.2000	0.9000	0.0080
9.0000	10.6543	1.2000	0.9000	0.0090
10.0000	11.6543	1.2000	0.9000	0.0100
11.0000	12.6542	1.2000	0.9000	0.0110
12.0000	13.6542	1.2000	0.9000	0.0120
13.0000	14.6542	1.2000	0.9000	0.0130
14.0000	15.6542	1.2000	0.9000	0.0140
15.0000	16.6542	1.2000	0.9000	0.0150
16.0000	17.6542	1.2000	0.9000	0.0160
17.0000	18.6542	1.2000	0.9000	0.0170
18.0000	19.6542	1.2000	0.9000	0.0180
19.0000	20.6542	1.2000	0.9000	0.0190
20.0000	21.6542	1.2000	0.9000	0.0200
21.0000	22.6542	1.2000	0.9000	0.0210
22.0000	23.6542	1.2000	0.9000	0.0220
23.0000	24.6542	1.2000	0.9000	0.0230
24.0000	25.6542	1.2000	0.9000	0.0240
25.0000	26.6542	1.2000	0.9000	0.0250
26.0000	27.6542	1.2000	0.9000	0.0260
27.0000	28.6542	1.2000	0.9000	0.0270
28.0000	29.6542	1.2000	0.9000	0.0280
29.0000	30.6542	1.2000	0.9000	0.0290
30.0000	31.6542	1.2000	0.9000	0.0300
31.0000	32.6542	1.2000	0.9000	0.0310
32.0000	33.6542	1.2000	0.9000	0.0320
33.0000	34.6542	1.2000	0.9000	0.0330
34.0000	35.6542	1.2000	0.9000	0.0340
35.0000	36.6542	1.2000	0.9000	0.0350
36.0000	37.6542	1.2000	0.9000	0.0360
37.0000	38.6542	1.2000	0.9000	0.0370
38.0000	39.6542	1.2000	0.9000	0.0380
39.0000	40.6542	1.2000	0.9000	0.0390
40.0000	41.6542	1.2000	0.9000	0.0400
41.0000	42.6542	1.2000	0.9000	0.0410
42.0000	43.6542	1.2000	0.9000	0.0420
43.0000	44.6542	1.2000	0.9000	0.0430
44.0000	45.6542	1.2000	0.9000	0.0440
45.0000	46.6542	1.2000	0.9000	0.0450
46.0000	47.6542	1.2000	0.9000	0.0460
47.0000	48.6542	1.2000	0.9000	0.0470
48.0000	49.6542	1.2000	0.9000	0.0480
49.0000	50.6542	1.2000	0.9000	0.0490
50.0000	51.6542	1.2000	0.9000	0.0500
51.0000	52.6542	1.2000	0.9000	0.0510
52.0000	53.6542	1.2000	0.9000	0.0520
53.0000	54.6542	1.2000	0.9000	0.0530
54.0000	55.6542	1.2000	0.9000	0.0540
55.0000	56.6542	1.2000	0.9000	0.0550
56.0000	57.6542	1.2000	0.9000	0.0560
57.0000	58.6542	1.2000	0.9000	0.0570
58.0000	59.6542	1.2000	0.9000	0.0580
59.0000	60.6542	1.2000	0.9000	0.0590
60.0000	61.6542	1.2000	0.9000	0.0600
61.0000	62.6542	1.2000	0.9000	0.0610
62.0000	63.6542	1.2000	0.9000	0.0620
63.0000	64.6542	1.2000	0.9000	0.0630
64.0000	65.6542	1.2000	0.9000	0.0640
65.0000	66.6542	1.2000	0.9000	0.0650
66.0000	67.6542	1.2000	0.9000	0.0660
67.0000	68.6542	1.2000	0.9000	0.0670
68.0000	69.6542	1.2000	0.9000	0.0680
69.0000	70.6542	1.2000	0.9000	0.0690
70.0000	71.6542	1.2000	0.9000	0.0700
71.0000	72.6542	1.2000	0.9000	0.0710
72.0000	73.6542	1.2000	0.9000	0.0720
73.0000	74.6542	1.2000	0.9000	0.0730
74.0000	75.6542	1.2000	0.9000	0.0740
75.0000	76.6542	1.2000	0.9000	0.0750
76.0000	77.6542	1.2000	0.9000	0.0760
77.0000	78.6542	1.2000	0.9000	0.0770
78.0000	79.6542	1.2000	0.9000	0.0780
79.0000	80.6542	1.2000	0.9000	0.0790
80.0000	81.6542	1.2000	0.9000	0.0800
81.0000	82.6542	1.2000	0.9000	0.0810
82.0000	83.6542	1.2000	0.9000	0.0820
83.0000	84.6542	1.2000	0.9000	0.0830
84.0000	85.6542	1.2000	0.9000	0.0840
85.0000	86.6542	1.2000	0.9000	0.0850
